KMeans_Cluster,Segment_Name,Churn
1,Premium Spenders,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,0
1,Premium Spenders,0
0,Budget Conscious,0
1,Premium Spenders,0
0,Budget Conscious,1
0,Budget Conscious,0
1,Premium Spenders,1
1,Premium Spenders,0
1,Premium Spenders,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,1
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
1,Premium Spenders,0
2,Young Professionals,0
0,Budget Conscious,0
1,Premium Spenders,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,1
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,0
1,Premium Spenders,0
0,Budget Conscious,0
2,Young Professionals,0
1,Premium Spenders,0
2,Young Professionals,0
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,0
1,Premium Spenders,0
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
1,Premium Spenders,0
0,Budget Conscious,0
0,Budget Conscious,1
2,Young Professionals,0
1,Premium Spenders,0
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,0
0,Budget Conscious,0
2,Young Professionals,1
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
2,Young Professionals,1
1,Premium Spenders,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,1
2,Young Professionals,0
0,Budget Conscious,0
1,Premium Spenders,1
2,Young Professionals,0
0,Budget Conscious,0
2,Young Professionals,0
2,Young Professionals,0
1,Premium Spenders,0
2,Young Professionals,0
1,Premium Spenders,0
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,0
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,1
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,1
2,Young Professionals,0
1,Premium Spenders,1
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
2,Young Professionals,0
1,Premium Spenders,0
1,Premium Spenders,0
0,Budget Conscious,0
1,Premium Spenders,0
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,0
1,Premium Spenders,0
1,Premium Spenders,0
0,Budget Conscious,0
2,Young Professionals,0
2,Young Professionals,0
1,Premium Spenders,1
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,1
0,Budget Conscious,1
1,Premium Spenders,1
2,Young Professionals,0
1,Premium Spenders,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,1
2,Young Professionals,0
1,Premium Spenders,0
0,Budget Conscious,1
2,Young Professionals,0
2,Young Professionals,1
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
1,Premium Spenders,0
1,Premium Spenders,1
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,1
1,Premium Spenders,0
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,0
1,Premium Spenders,0
0,Budget Conscious,0
1,Premium Spenders,0
2,Young Professionals,0
0,Budget Conscious,0
1,Premium Spenders,0
1,Premium Spenders,0
2,Young Professionals,0
0,Budget Conscious,1
1,Premium Spenders,0
1,Premium Spenders,1
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,0
2,Young Professionals,0
1,Premium Spenders,1
0,Budget Conscious,0
2,Young Professionals,0
1,Premium Spenders,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
1,Premium Spenders,0
1,Premium Spenders,0
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,0
1,Premium Spenders,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
1,Premium Spenders,0
2,Young Professionals,0
1,Premium Spenders,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
1,Premium Spenders,0
2,Young Professionals,0
1,Premium Spenders,0
0,Budget Conscious,1
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,1
2,Young Professionals,0
0,Budget Conscious,0
2,Young Professionals,0
2,Young Professionals,0
1,Premium Spenders,0
1,Premium Spenders,0
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
2,Young Professionals,0
1,Premium Spenders,0
1,Premium Spenders,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,0
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
2,Young Professionals,1
2,Young Professionals,0
0,Budget Conscious,0
2,Young Professionals,0
2,Young Professionals,0
1,Premium Spenders,0
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,0
2,Young Professionals,0
2,Young Professionals,0
1,Premium Spenders,1
1,Premium Spenders,0
2,Young Professionals,0
2,Young Professionals,0
1,Premium Spenders,0
2,Young Professionals,0
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,1
1,Premium Spenders,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
1,Premium Spenders,0
0,Budget Conscious,0
2,Young Professionals,0
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,1
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,0
1,Premium Spenders,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
1,Premium Spenders,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
1,Premium Spenders,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,0
1,Premium Spenders,0
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,1
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,0
1,Premium Spenders,0
0,Budget Conscious,0
1,Premium Spenders,0
1,Premium Spenders,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,1
1,Premium Spenders,0
1,Premium Spenders,0
2,Young Professionals,0
0,Budget Conscious,0
1,Premium Spenders,0
0,Budget Conscious,0
2,Young Professionals,0
1,Premium Spenders,0
1,Premium Spenders,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,1
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
1,Premium Spenders,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,1
0,Budget Conscious,0
0,Budget Conscious,1
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,0
0,Budget Conscious,1
1,Premium Spenders,0
0,Budget Conscious,0
2,Young Professionals,0
1,Premium Spenders,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
2,Young Professionals,0
1,Premium Spenders,1
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
1,Premium Spenders,0
2,Young Professionals,0
0,Budget Conscious,0
1,Premium Spenders,0
2,Young Professionals,0
0,Budget Conscious,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,0
2,Young Professionals,0
1,Premium Spenders,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,1
1,Premium Spenders,0
0,Budget Conscious,0
2,Young Professionals,0
1,Premium Spenders,0
0,Budget Conscious,1
1,Premium Spenders,0
1,Premium Spenders,0
1,Premium Spenders,1
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,1
2,Young Professionals,0
0,Budget Conscious,0
2,Young Professionals,0
1,Premium Spenders,1
1,Premium Spenders,0
1,Premium Spenders,0
0,Budget Conscious,0
1,Premium Spenders,0
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
2,Young Professionals,0
2,Young Professionals,0
1,Premium Spenders,0
2,Young Professionals,0
2,Young Professionals,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
0,Budget Conscious,0
1,Premium Spenders,1
2,Young Professionals,0
0,Budget Conscious,0
